FULL_NM,count
서울특별시 강남구 개포1동,24
서울특별시 강남구 개포2동,24
서울특별시 강남구 개포3동,23
서울특별시 강남구 개포4동,23
서울특별시 강남구 논현1동,642
서울특별시 강남구 논현2동,642
서울특별시 강남구 대치동1동,1243
서울특별시 강남구 대치동2동,1243
서울특별시 강남구 대치동4동,1244
서울특별시 강남구 도곡1동,73
서울특별시 강남구 도곡2동,74
서울특별시 강남구 삼성1동,1003
서울특별시 강남구 삼성2동,1004
서울특별시 강남구 세곡동,20
서울특별시 강남구 수서동,163
서울특별시 강남구 압구정동,30
서울특별시 강남구 역삼1동,947
서울특별시 강남구 역삼2동,947
서울특별시 강남구 일원본동,245
서울특별시 강남구 청담동,481
서울특별시 강동구 강일동,594
서울특별시 강동구 고덕1동,107
서울특별시 강동구 고덕2동,106
서울특별시 강동구 길동,194
서울특별시 강동구 둔촌1동,82
서울특별시 강동구 둔촌2동,81
서울특별시 강동구 명일1동,112
서울특별시 강동구 명일2동,113
서울특별시 강동구 상일1동,224
서울특별시 강동구 상일2동,225
서울특별시 강동구 성내1동,400
서울특별시 강동구 성내2동,400
서울특별시 강동구 성내3동,400
서울특별시 강동구 암사1동,70
서울특별시 강동구 암사2동,70
서울특별시 강동구 암사3동,72
서울특별시 강동구 천호1동,130
서울특별시 강동구 천호2동,130
서울특별시 강동구 천호3동,130
서울특별시 강북구 미아동,804
서울특별시 강북구 번1동,127
서울특별시 강북구 번2동,127
서울특별시 강북구 수유1동,247
서울특별시 강북구 수유2동,247
서울특별시 강북구 수유3동,247
서울특별시 강북구 우이동,299
서울특별시 강서구 가양1동,696
서울특별시 강서구 가양2동,709
서울특별시 강서구 가양3동,354
서울특별시 강서구 공항동,83
서울특별시 강서구 등촌1동,406
서울특별시 강서구 등촌2동,406
서울특별시 강서구 등촌3동,406
서울특별시 강서구 발산1동,325
서울특별시 강서구 방화1동,151
서울특별시 강서구 염창동,816
서울특별시 강서구 우장산동,172
서울특별시 강서구 화곡1동,124
서울특별시 강서구 화곡2동,124
서울특별시 강서구 화곡3동,124
서울특별시 강서구 화곡4동,124
서울특별시 강서구 화곡6동,124
서울특별시 강서구 화곡8동,124
서울특별시 강서구 화곡본동,124
서울특별시 관악구 낙성대동,802
서울특별시 관악구 남현동,235
서울특별시 관악구 보라매동,800
서울특별시 관악구 성현동,800
서울특별시 관악구 신림동,1525
서울특별시 관악구 청룡동,869
서울특별시 관악구 청림동,801
서울특별시 관악구 행운동,800
서울특별시 광진구 광장동,229
서울특별시 광진구 구의1동,209
서울특별시 광진구 구의2동,209
서울특별시 광진구 구의3동,210
서울특별시 광진구 군자동,831
서울특별시 광진구 능동,432
서울특별시 광진구 자양1동,249
서울특별시 광진구 자양2동,249
서울특별시 광진구 자양3동,249
서울특별시 광진구 자양4동,251
서울특별시 광진구 중곡1동,97
서울특별시 광진구 중곡2동,97
서울특별시 광진구 중곡3동,97
서울특별시 광진구 중곡4동,99
서울특별시 광진구 화양동,673
서울특별시 구로구 가리봉동,41
서울특별시 구로구 개봉1동,76
서울특별시 구로구 고척1동,39
서울특별시 구로구 구로1동,261
서울특별시 구로구 구로2동,261
서울특별시 구로구 구로3동,261
서울특별시 구로구 구로4동,261
서울특별시 구로구 구로5동,265
서울특별시 구로구 수궁동,23
서울특별시 구로구 신도림동,48
서울특별시 구로구 오류1동,57
서울특별시 구로구 오류2동,28
서울특별시 구로구 항동,7
서울특별시 금천구 가산동,3
서울특별시 금천구 독산1동,5
서울특별시 금천구 시흥1동,2
서울특별시 노원구 공릉1동,283
서울특별시 노원구 공릉2동,283
서울특별시 노원구 상계10동,165
서울특별시 노원구 상계1동,160
서울특별시 노원구 상계2동,160
서울특별시 노원구 상계3.4동,160
서울특별시 노원구 상계5동,160
서울특별시 노원구 상계6.7동,160
서울특별시 노원구 상계8동,160
서울특별시 노원구 상계9동,160
서울특별시 노원구 월계1동,212
서울특별시 노원구 월계2동,212
서울특별시 노원구 월계3동,213
서울특별시 노원구 중계1동,178
서울특별시 노원구 중계2.3동,178
서울특별시 노원구 중계4동,178
서울특별시 노원구 중계본동,178
서울특별시 노원구 하계1동,202
서울특별시 노원구 하계2동,202
서울특별시 도봉구 도봉1동,144
서울특별시 도봉구 도봉2동,144
서울특별시 도봉구 방학1동,414
서울특별시 도봉구 방학2동,415
서울특별시 도봉구 방학3동,415
서울특별시 도봉구 쌍문1동,205
서울특별시 도봉구 쌍문2동,205
서울특별시 도봉구 쌍문3동,205
서울특별시 도봉구 쌍문4동,207
서울특별시 도봉구 창1동,186
서울특별시 도봉구 창2동,186
서울특별시 도봉구 창3동,186
서울특별시 도봉구 창4동,186
서울특별시 도봉구 창5동,189
서울특별시 동대문구 답십리1동,378
서울특별시 동대문구 답십리2동,378
서울특별시 동대문구 용신동,196
서울특별시 동대문구 이문1동,354
서울특별시 동대문구 이문2동,354
서울특별시 동대문구 장안1동,1038
서울특별시 동대문구 장안2동,1039
서울특별시 동대문구 전농1동,310
서울특별시 동대문구 전농2동,310
서울특별시 동대문구 제기동,71
서울특별시 동대문구 청량리동,138
서울특별시 동대문구 회기동,389
서울특별시 동대문구 휘경1동,276
서울특별시 동대문구 휘경2동,276
서울특별시 동작구 노량진1동,446
서울특별시 동작구 노량진2동,748
서울특별시 동작구 대방동,918
서울특별시 동작구 사당1동,388
서울특별시 동작구 사당2동,460
서울특별시 동작구 사당3동,389
서울특별시 동작구 사당4동,389
서울특별시 동작구 사당5동,397
서울특별시 동작구 상도1동,367
서울특별시 동작구 상도1동,316
서울특별시 동작구 상도2동,367
서울특별시 동작구 상도3동,367
서울특별시 동작구 상도4동,374
서울특별시 동작구 신대방1동,460
서울특별시 동작구 신대방2동,457
서울특별시 동작구 흑석동,375
서울특별시 마포구 공덕동,853
서울특별시 마포구 대흥동,658
서울특별시 마포구 도화동,688
서울특별시 마포구 망원1동,558
서울특별시 마포구 망원2동,557
서울특별시 마포구 상암동,293
서울특별시 마포구 서강동,659
서울특별시 마포구 서교동,4713
서울특별시 마포구 성산1동,183
서울특별시 마포구 성산2동,235
서울특별시 마포구 신수동,643
서울특별시 마포구 아현동,192
서울특별시 마포구 연남동,556
서울특별시 마포구 염리동,516
서울특별시 마포구 용강동,287
서울특별시 마포구 합정동,997
서울특별시 서대문구 남가좌1동,338
서울특별시 서대문구 북가좌1동,258
서울특별시 서대문구 신촌동,848
서울특별시 서대문구 신촌동,56
서울특별시 서대문구 연희동,477
서울특별시 서대문구 천연동,174
서울특별시 서대문구 충현동,498
서울특별시 서대문구 홍은1동,139
서울특별시 서대문구 홍제1동,76
서울특별시 서초구 내곡동,81
서울특별시 서초구 반포1동,94
서울특별시 서초구 반포3동,91
서울특별시 서초구 방배1동,193
서울특별시 서초구 방배2동,193
서울특별시 서초구 방배3동,193
서울특별시 서초구 방배4동,196
서울특별시 서초구 방배본동,193
서울특별시 서초구 서초동1동,1500
서울특별시 서초구 서초동2동,1499
서울특별시 서초구 서초동3동,1500
서울특별시 서초구 서초동4동,1500
서울특별시 서초구 양재1동,898
서울특별시 서초구 양재2동,834
서울특별시 성동구 금호2.3가동,30
서울특별시 성동구 금호동1가동,16
서울특별시 성동구 금호동4가동,4
서울특별시 성동구 마장동,366
서울특별시 성동구 사근동,262
서울특별시 성동구 성수동1가1동,1253
서울특별시 성동구 성수동1가2동,1250
서울특별시 성동구 성수동2가1동,3106
서울특별시 성동구 성수동2가3동,3106
서울특별시 성동구 송정동,72
서울특별시 성동구 왕십리도선동,441
서울특별시 성동구 용답동,409
서울특별시 성동구 응봉동,12
서울특별시 성동구 행당1동,418
서울특별시 성동구 행당2동,418
서울특별시 성북구 길음1동,33
서울특별시 성북구 돈암1동,60
서울특별시 성북구 동선동,81
서울특별시 성북구 보문동,175
서울특별시 성북구 삼선동,183
서울특별시 성북구 석관동,453
서울특별시 성북구 성북동,116
서울특별시 성북구 안암동,200
서울특별시 성북구 월곡1동,211
서울특별시 성북구 월곡2동,87
서울특별시 성북구 장위1동,125
서울특별시 성북구 정릉1동,94
서울특별시 성북구 종암동,252
서울특별시 송파구 가락1동,707
서울특별시 송파구 가락2동,707
서울특별시 송파구 가락본동,707
서울특별시 송파구 거여1동,263
서울특별시 송파구 마천1동,197
서울특별시 송파구 문정1동,1389
서울특별시 송파구 문정2동,1390
서울특별시 송파구 방이1동,650
서울특별시 송파구 방이2동,650
서울특별시 송파구 삼전동,203
서울특별시 송파구 석촌동,402
서울특별시 송파구 송파1동,609
서울특별시 송파구 송파2동,609
서울특별시 송파구 오금동,954
서울특별시 송파구 잠실2동,187
서울특별시 송파구 잠실3동,187
서울특별시 송파구 잠실4동,187
서울특별시 송파구 잠실6동,187
서울특별시 송파구 잠실7동,187
서울특별시 송파구 잠실본동,605
서울특별시 송파구 장지동,1200
서울특별시 송파구 풍납1동,56
서울특별시 양천구 목1동,153
서울특별시 양천구 목2동,153
서울특별시 양천구 목3동,153
서울특별시 양천구 목4동,153
서울특별시 양천구 목5동,153
서울특별시 양천구 신월1동,50
서울특별시 양천구 신월2동,50
서울특별시 양천구 신월3동,50
서울특별시 양천구 신월4동,50
서울특별시 양천구 신정1동,69
서울특별시 양천구 신정2동,69
서울특별시 양천구 신정3동,69
서울특별시 양천구 신정4동,69
서울특별시 양천구 신정6동,69
서울특별시 양천구 신정7동,69
서울특별시 영등포구 당산1동,467
서울특별시 영등포구 당산2동,467
서울특별시 영등포구 대림1동,324
서울특별시 영등포구 대림2동,324
서울특별시 영등포구 대림3동,324
서울특별시 영등포구 도림동,167
서울특별시 영등포구 문래동,934
서울특별시 영등포구 신길1동,347
서울특별시 영등포구 신길3동,347
서울특별시 영등포구 신길4동,347
서울특별시 영등포구 신길5동,347
서울특별시 영등포구 신길6동,347
서울특별시 영등포구 신길7동,347
서울특별시 영등포구 양평1동,633
서울특별시 영등포구 양평2동,645
서울특별시 영등포구 여의동,3090
서울특별시 영등포구 영등포동,400
서울특별시 영등포구 영등포본동,400
서울특별시 용산구 남영동,135
서울특별시 용산구 보광동,269
서울특별시 용산구 서빙고동,292
서울특별시 용산구 용문동,350
서울특별시 용산구 용산2가동,181
서울특별시 용산구 원효로1동,491
서울특별시 용산구 원효로2동,513
서울특별시 용산구 이촌1동,241
서울특별시 용산구 이촌2동,241
서울특별시 용산구 이태원1동,324
서울특별시 용산구 청파동,700
서울특별시 용산구 한강로동,562
서울특별시 용산구 한남동,514
서울특별시 용산구 효창동,703
서울특별시 용산구 후암동,252
서울특별시 은평구 갈현1동,40
서울특별시 은평구 구산동,6
서울특별시 은평구 녹번동,16
서울특별시 은평구 대조동,40
서울특별시 은평구 불광1동,7
서울특별시 은평구 수색동,4
서울특별시 은평구 신사1동,354
서울특별시 은평구 신사2동,392
서울특별시 은평구 역촌동,31
서울특별시 은평구 응암1동,123
서울특별시 은평구 증산동,43
서울특별시 은평구 진관동,39
서울특별시 종로구 가회동,130
서울특별시 종로구 교남동,77
서울특별시 종로구 무악동,62
서울특별시 종로구 부암동,31
서울특별시 종로구 사직동,445
서울특별시 종로구 삼청동,241
서울특별시 종로구 숭인1동,22
서울특별시 종로구 이화동,110
서울특별시 종로구 종로1.2.3.4가동,670
서울특별시 종로구 종로5.6가동,26
서울특별시 종로구 창신1동,17
서울특별시 종로구 청운효자동,144
서울특별시 종로구 평창동,15
서울특별시 종로구 혜화동,92
서울특별시 중구 광희동,48
서울특별시 중구 명동,336
서울특별시 중구 소공동,267
서울특별시 중구 신당동,655
서울특별시 중구 을지로동,596
서울특별시 중구 장충동,159
서울특별시 중구 중림동,235
서울특별시 중구 필동,35
서울특별시 중구 황학동,132
서울특별시 중구 회현동,104
서울특별시 중랑구 망우3동,218
서울특별시 중랑구 망우본동,218
서울특별시 중랑구 면목2동,244
서울특별시 중랑구 면목3.8동,248
서울특별시 중랑구 면목4동,244
서울특별시 중랑구 면목5동,244
서울특별시 중랑구 면목7동,244
서울특별시 중랑구 면목본동,244
서울특별시 중랑구 묵1동,259
서울특별시 중랑구 묵2동,259
서울특별시 중랑구 상봉1동,365
서울특별시 중랑구 상봉2동,366
서울특별시 중랑구 신내동,218
서울특별시 중랑구 중화1동,237
서울특별시 중랑구 중화2동,238
